                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.89813,                0.70952,                0.82435,                      1,              0.0009802
                      1,                0.72279,                 0.7472,                0.80838,                      1,              0.0009604
                      2,                 0.6788,                0.56635,                0.90818,                      1,              0.0009406
                      3,                0.63976,                0.73145,                 0.8004,                      1,              0.0009208
                      4,                 0.6487,                0.55834,                 0.9022,                      1,               0.000901
                      5,                0.62176,                0.57948,                0.91218,                      1,              0.0008812
                      6,                0.60443,                0.51483,                0.91018,                      1,              0.0008614
                      7,                0.59264,                0.56251,                0.90818,                      1,              0.0008416
                      8,                0.58638,                0.57611,                0.88623,                      1,              0.0008218
                      9,                0.56062,                0.52993,                0.91816,                      1,               0.000802
                     10,                0.56833,                0.47953,                0.93812,                      1,              0.0007822
                     11,                0.54745,                0.45238,                 0.9501,                      1,              0.0007624
                     12,                0.54768,                0.46446,                0.94411,                      1,              0.0007426
                     13,                 0.5244,                0.50995,                0.91417,                      1,              0.0007228
                     14,                0.53435,                0.44686,                0.95609,                      1,               0.000703
                     15,                0.53349,                0.44536,                0.96208,                      1,              0.0006832
                     16,                0.50982,                0.53406,                0.91417,                      1,              0.0006634
                     17,                0.51545,                0.43637,                0.96208,                      1,              0.0006436
                     18,                0.51956,                0.44595,                0.95409,                      1,              0.0006238
                     19,                0.48885,                0.44649,                0.94611,                      1,               0.000604
                     20,                0.49218,                0.45977,                0.94411,                      1,              0.0005842
                     21,                0.49124,                0.43589,                0.95609,                      1,              0.0005644
                     22,                0.48949,                 0.4261,                0.96407,                      1,              0.0005446
                     23,                0.47789,                0.42979,                0.96407,                      1,              0.0005248
                     24,                0.47728,                0.41418,                0.97006,                      1,               0.000505
                     25,                0.47335,                0.40596,                0.97405,                      1,              0.0004852
                     26,                0.47719,                0.41263,                0.97206,                      1,              0.0004654
                     27,                0.46362,                0.41203,                0.97206,                      1,              0.0004456
                     28,                0.44558,                0.39632,                0.97804,                      1,              0.0004258
                     29,                0.46066,                0.41166,                0.96607,                      1,               0.000406
                     30,                0.44949,                0.39889,                0.98204,                      1,              0.0003862
                     31,                 0.4494,                0.39561,                0.97605,                      1,              0.0003664
                     32,                0.43979,                0.39708,                0.97405,                      1,              0.0003466
                     33,                0.44396,                0.38276,                0.98603,                      1,              0.0003268
                     34,                0.44664,                0.37646,                0.98802,                      1,               0.000307
                     35,                0.44051,                0.38445,                0.98603,                      1,              0.0002872
                     36,                0.43432,                0.37728,                0.98802,                      1,              0.0002674
                     37,                0.43113,                0.38831,                0.97804,                      1,              0.0002476
                     38,                 0.4177,                0.38426,                0.98204,                      1,              0.0002278
                     39,                0.42728,                0.37925,                0.98802,                      1,               0.000208
                     40,                 0.4291,                0.39121,                0.98603,                      1,              0.0001882
                     41,                0.42039,                0.38231,                0.98403,                      1,              0.0001684
                     42,                0.41555,                0.38443,                0.98204,                      1,              0.0001486
                     43,                0.41137,                0.38492,                0.98403,                      1,              0.0001288
                     44,                0.40757,                0.38746,                0.98403,                      1,               0.000109
                     45,                0.40577,                0.38909,                0.98403,                      1,               8.92e-05
                     46,                0.40141,                0.38845,                0.98403,                      1,               6.94e-05
                     47,                0.40765,                 0.3856,                0.98403,                      1,               4.96e-05
                     48,                0.40061,                0.38592,                0.98403,                      1,               2.98e-05
                     49,                0.39759,                0.38519,                0.98403,                      1,                  1e-05
