                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 1.0388,                 1.3884,                0.49501,                      1,              0.0009901
                      1,                0.93727,                 1.0965,                0.64271,                      1,              0.0009802
                      2,                0.88342,                 1.0155,                0.67465,                      1,              0.0009703
                      3,                0.84689,                 1.3873,                0.36727,                      1,              0.0009604
                      4,                0.83424,                 1.2788,                0.52295,                      1,              0.0009505
                      5,                0.81543,                0.83748,                0.78443,                      1,              0.0009406
                      6,                0.80573,                0.75896,                0.81238,                      1,              0.0009307
                      7,                0.78985,                  1.077,                0.67066,                      1,              0.0009208
                      8,                0.76434,                0.88781,                0.74052,                      1,              0.0009109
                      9,                0.76194,                0.79217,                0.79441,                      1,               0.000901
                     10,                0.76305,                0.73553,                0.80439,                      1,              0.0008911
                     11,                0.72727,                0.74098,                0.86228,                      1,              0.0008812
                     12,                0.72928,                 0.6758,                0.85629,                      1,              0.0008713
                     13,                0.71171,                0.70254,                0.84032,                      1,              0.0008614
                     14,                0.73295,                0.80175,                0.76647,                      1,              0.0008515
                     15,                0.71574,                0.63301,                0.90419,                      1,              0.0008416
                     16,                0.71981,                0.67249,                0.85828,                      1,              0.0008317
                     17,                0.71961,                0.70097,                0.87026,                      1,              0.0008218
                     18,                0.71104,                0.66183,                0.87026,                      1,              0.0008119
                     19,                0.69682,                0.67517,                0.90419,                      1,               0.000802
                     20,                0.69972,                0.72413,                0.82036,                      1,              0.0007921
                     21,                0.69824,                0.66965,                0.87425,                      1,              0.0007822
                     22,                0.68129,                0.59974,                 0.9002,                      1,              0.0007723
                     23,                0.66608,                0.68196,                0.87226,                      1,              0.0007624
                     24,                0.67705,                0.75292,                0.83433,                      1,              0.0007525
                     25,                0.69181,                0.64007,                0.86826,                      1,              0.0007426
                     26,                0.65646,                0.67024,                0.87625,                      1,              0.0007327
                     27,                0.66916,                0.61748,                0.92615,                      1,              0.0007228
                     28,                0.65361,                0.56539,                0.92415,                      1,              0.0007129
                     29,                0.65508,                0.59055,                0.90419,                      1,               0.000703
                     30,                 0.6447,                0.58543,                0.92814,                      1,              0.0006931
                     31,                0.64949,                0.58369,                 0.8982,                      1,              0.0006832
                     32,                0.65043,                0.59555,                0.89421,                      1,              0.0006733
                     33,                0.63794,                0.56228,                0.93014,                      1,              0.0006634
                     34,                0.64745,                0.55964,                0.93014,                      1,              0.0006535
                     35,                0.64495,                0.54893,                0.93613,                      1,              0.0006436
                     36,                0.64883,                0.53671,                0.94611,                      1,              0.0006337
                     37,                0.63143,                0.55591,                0.93214,                      1,              0.0006238
                     38,                0.61025,                0.53184,                0.94012,                      1,              0.0006139
                     39,                0.60977,                0.53399,                0.93812,                      1,               0.000604
                     40,                0.62231,                0.53808,                0.93613,                      1,              0.0005941
                     41,                 0.6149,                0.53695,                 0.9481,                      1,              0.0005842
                     42,                0.61257,                0.52333,                0.94212,                      1,              0.0005743
                     43,                0.60031,                0.52797,                 0.9481,                      1,              0.0005644
                     44,                0.59481,                0.53387,                0.94012,                      1,              0.0005545
                     45,                0.60065,                0.52914,                0.94411,                      1,              0.0005446
                     46,                0.60298,                0.51776,                0.94611,                      1,              0.0005347
                     47,                0.59664,                0.51594,                0.94212,                      1,              0.0005248
                     48,                0.59593,                0.52254,                0.94212,                      1,              0.0005149
                     49,                0.58298,                0.52178,                 0.9501,                      1,               0.000505
                     50,                 0.5902,                0.50507,                 0.9501,                      1,              0.0004951
                     51,                0.58378,                0.50611,                0.95409,                      1,              0.0004852
                     52,                0.59685,                0.50531,                 0.9521,                      1,              0.0004753
                     53,                0.58233,                0.51226,                 0.9521,                      1,              0.0004654
                     54,                0.58103,                0.50787,                0.95409,                      1,              0.0004555
                     55,                0.57249,                0.50494,                 0.9501,                      1,              0.0004456
                     56,                0.57073,                 0.4968,                0.95409,                      1,              0.0004357
                     57,                0.56384,                0.49528,                0.95409,                      1,              0.0004258
                     58,                 0.5493,                0.49573,                 0.9521,                      1,              0.0004159
                     59,                0.55367,                0.49309,                 0.9521,                      1,               0.000406
                     60,                0.55339,                0.49355,                 0.9501,                      1,              0.0003961
                     61,                0.53853,                0.49296,                 0.9501,                      1,              0.0003862
                     62,                0.54519,                0.48889,                 0.9521,                      1,              0.0003763
