                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90147,                0.83034,                      1,                0.97829,             0.00023692,             0.00023692,             0.00023692
                      2,                0.41578,                0.90419,                      1,                0.87871,             0.00046551,             0.00046551,             0.00046551
                      3,                0.31987,                0.91317,                      1,                0.87917,             0.00068469,             0.00068469,             0.00068469
                      4,                0.26807,                0.87625,                      1,                0.92432,             0.00067159,             0.00067159,             0.00067159
                      5,                0.25461,                0.95409,                      1,                0.80191,             0.00065745,             0.00065745,             0.00065745
                      6,                0.20328,                 0.9481,                      1,                0.81012,             0.00064331,             0.00064331,             0.00064331
                      7,                0.17561,                0.96307,                      1,                0.79451,             0.00062918,             0.00062918,             0.00062918
                      8,                0.13487,                0.97006,                      1,                0.78952,             0.00061504,             0.00061504,             0.00061504
                      9,                0.13109,                0.95609,                      1,                0.79855,              0.0006009,              0.0006009,              0.0006009
                     10,                0.14091,                 0.9521,                      1,                0.80907,             0.00058677,             0.00058677,             0.00058677
                     11,                0.10111,                0.97106,                      1,                0.78311,             0.00057263,             0.00057263,             0.00057263
                     12,                0.09192,                0.97305,                      1,                0.77667,             0.00055849,             0.00055849,             0.00055849
                     13,                0.09063,                0.97405,                      1,                0.77406,             0.00054435,             0.00054435,             0.00054435
                     14,                0.08388,                0.97305,                      1,                0.77686,             0.00053022,             0.00053022,             0.00053022
                     15,                0.07373,                0.96707,                      1,                0.78098,             0.00051608,             0.00051608,             0.00051608
                     16,                 0.0789,                0.97206,                      1,                0.78047,             0.00050194,             0.00050194,             0.00050194
                     17,                0.06408,                0.98104,                      1,                0.77007,              0.0004878,              0.0004878,              0.0004878
                     18,                0.05653,                0.98104,                      1,                0.76772,             0.00047367,             0.00047367,             0.00047367
                     19,                0.07264,                0.97006,                      1,                0.78278,             0.00045953,             0.00045953,             0.00045953
                     20,                 0.0604,                0.97605,                      1,                0.77133,             0.00044539,             0.00044539,             0.00044539
                     21,                0.04221,                0.98603,                      1,                0.76361,             0.00043126,             0.00043126,             0.00043126
                     22,                0.04875,                0.98303,                      1,                0.76399,             0.00041712,             0.00041712,             0.00041712
                     23,                0.05127,                0.98403,                      1,                0.76372,             0.00040298,             0.00040298,             0.00040298
                     24,                 0.0495,                0.98104,                      1,                0.76401,             0.00038884,             0.00038884,             0.00038884
                     25,                0.03778,                0.98204,                      1,                0.76514,             0.00037471,             0.00037471,             0.00037471
                     26,                0.04401,                0.98403,                      1,                0.76051,             0.00036057,             0.00036057,             0.00036057
                     27,                0.04762,                0.98204,                      1,                 0.7652,             0.00034643,             0.00034643,             0.00034643
                     28,                0.03044,                0.98303,                      1,                0.76291,              0.0003323,              0.0003323,              0.0003323
                     29,                0.03621,                0.98204,                      1,                0.76273,             0.00031816,             0.00031816,             0.00031816
                     30,                0.03253,                0.98703,                      1,                0.76022,             0.00030402,             0.00030402,             0.00030402
                     31,                0.04051,                0.98603,                      1,                0.75822,             0.00028988,             0.00028988,             0.00028988
                     32,                0.03179,                0.98004,                      1,                0.76508,             0.00027575,             0.00027575,             0.00027575
                     33,                0.03237,                0.98503,                      1,                0.76144,             0.00026161,             0.00026161,             0.00026161
                     34,                0.02368,                0.98303,                      1,                0.76086,             0.00024747,             0.00024747,             0.00024747
                     35,                0.02705,                0.99002,                      1,                0.75691,             0.00023334,             0.00023334,             0.00023334
                     36,                  0.033,                0.99002,                      1,                0.75664,              0.0002192,              0.0002192,              0.0002192
                     37,                0.02209,                0.98703,                      1,                0.75871,             0.00020506,             0.00020506,             0.00020506
                     38,                0.02498,                0.98902,                      1,                0.75641,             0.00019092,             0.00019092,             0.00019092
                     39,                0.02065,                0.98902,                      1,                0.75647,             0.00017679,             0.00017679,             0.00017679
                     40,                0.02334,                0.98703,                      1,                0.75789,             0.00016265,             0.00016265,             0.00016265
                     41,                0.02253,                0.98603,                      1,                0.75793,             0.00014851,             0.00014851,             0.00014851
                     42,                0.02244,                0.98503,                      1,                0.75995,             0.00013437,             0.00013437,             0.00013437
                     43,                0.02108,                0.98703,                      1,                0.75789,             0.00012024,             0.00012024,             0.00012024
                     44,                0.01908,                0.98703,                      1,                0.75632,              0.0001061,              0.0001061,              0.0001061
                     45,                0.01491,                0.99002,                      1,                0.75648,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.02124,                0.98802,                      1,                 0.7572,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.01672,                0.98703,                      1,                0.75783,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.01274,                0.98603,                      1,                0.75755,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                 0.0123,                0.98603,                      1,                0.75912,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.01676,                0.98802,                      1,                0.75728,             2.1277e-05,             2.1277e-05,             2.1277e-05
